,participantId,format,duration_sec,task,confidence,difficulty
0,659960f32faa4ff4b116de92,toml,6.977,writing-task-NL,7,1
1,659960f32faa4ff4b116de92,toml,8.721,reading-task-config-1,1,5
2,659960f32faa4ff4b116de92,toml,11.711,reading-task-config-2,5,4
3,659960f32faa4ff4b116de92,toml,9.016,reading-task-config-3,2,4
4,659960f32faa4ff4b116de92,toml,4.735,reading-task-config-4,1,7
5,659960f32faa4ff4b116de92,toml,3.386,reading-task-config-5,7,1
6,659960f32faa4ff4b116de92,toml,5.138,writing-task-config,1,7
7,659960f32faa4ff4b116de92,toml,4.6,modifying-task-config-1,3,1
8,659960f32faa4ff4b116de92,toml,6.009,modifying-task-config-2,2,3
9,659960f32faa4ff4b116de92,toml,3.136,modifying-task-config-3,7,1
10,659960f32faa4ff4b116de92,toml,4.431,modifying-task-config-4,5,3
11,5f7f239e9b204e05b6c36538,json5,5.518,writing-task-NL,1,1
12,5f7f239e9b204e05b6c36538,json5,6.46,reading-task-config-1,2,4
13,5f7f239e9b204e05b6c36538,json5,4.186,reading-task-config-2,3,1
14,5f7f239e9b204e05b6c36538,json5,4.032,reading-task-config-3,6,1
15,5f7f239e9b204e05b6c36538,json5,3.773,reading-task-config-4,1,7
16,5f7f239e9b204e05b6c36538,json5,3.142,reading-task-config-5,1,7
17,5f7f239e9b204e05b6c36538,json5,5.877,writing-task-config,1,7
18,5f7f239e9b204e05b6c36538,json5,3.913,modifying-task-config-1,1,7
19,5f7f239e9b204e05b6c36538,json5,4.755,modifying-task-config-2,1,7
20,5f7f239e9b204e05b6c36538,json5,4.167,modifying-task-config-3,4,3
21,5f7f239e9b204e05b6c36538,json5,3.869,modifying-task-config-4,2,5
22,676d220cd6e7101ccba18ba5,jsonc,20.723,writing-task-NL,7,2
23,676d220cd6e7101ccba18ba5,jsonc,10.656,reading-task-config-1,6,3
24,676d220cd6e7101ccba18ba5,jsonc,11.135,reading-task-config-2,4,5
25,676d220cd6e7101ccba18ba5,jsonc,10.833,reading-task-config-3,7,2
26,676d220cd6e7101ccba18ba5,jsonc,9.799,reading-task-config-4,3,7
27,676d220cd6e7101ccba18ba5,jsonc,6.674,reading-task-config-5,2,6
28,676d220cd6e7101ccba18ba5,jsonc,9.682,writing-task-config,3,7
29,676d220cd6e7101ccba18ba5,jsonc,5.416,modifying-task-config-1,2,7
30,676d220cd6e7101ccba18ba5,jsonc,5.224,modifying-task-config-2,1,7
31,676d220cd6e7101ccba18ba5,jsonc,6.128,modifying-task-config-3,5,4
32,676d220cd6e7101ccba18ba5,jsonc,5.821,modifying-task-config-4,1,7
33,67b8636acd5ed420cc098b64,toml,36.648,writing-task-NL,7,7
34,67b8636acd5ed420cc098b64,toml,16.775,reading-task-config-1,3,7
35,67b8636acd5ed420cc098b64,toml,21.747,reading-task-config-2,1,4
36,67b8636acd5ed420cc098b64,toml,15.711,reading-task-config-3,1,7
37,67b8636acd5ed420cc098b64,toml,16.456,reading-task-config-4,2,7
38,67b8636acd5ed420cc098b64,toml,8.569,reading-task-config-5,7,1
39,67b8636acd5ed420cc098b64,toml,7.183,writing-task-config,1,7
40,67b8636acd5ed420cc098b64,toml,11.741,modifying-task-config-1,2,7
41,67b8636acd5ed420cc098b64,toml,21.549,modifying-task-config-2,1,7
42,67b8636acd5ed420cc098b64,toml,21.831,modifying-task-config-3,2,4
43,67b8636acd5ed420cc098b64,toml,15.312,modifying-task-config-4,3,5
44,57ca4b09993b08000192297b,xml,7.52,writing-task-NL,4,1
45,57ca4b09993b08000192297b,xml,7.203,reading-task-config-1,7,1
46,57ca4b09993b08000192297b,xml,4.803,reading-task-config-2,7,1
47,57ca4b09993b08000192297b,xml,4.615,reading-task-config-3,6,3
48,57ca4b09993b08000192297b,xml,6.73,reading-task-config-4,6,2
49,57ca4b09993b08000192297b,xml,4.242,reading-task-config-5,7,1
50,57ca4b09993b08000192297b,xml,4.757,writing-task-config,4,4
51,57ca4b09993b08000192297b,xml,2.996,modifying-task-config-1,7,2
52,57ca4b09993b08000192297b,xml,5.56,modifying-task-config-2,6,2
53,57ca4b09993b08000192297b,xml,6.464,modifying-task-config-3,5,5
54,57ca4b09993b08000192297b,xml,7.116,modifying-task-config-4,2,6
55,67d1cc8044430e99a7d91b4a,toml,5.158,writing-task-NL,7,1
56,67d1cc8044430e99a7d91b4a,toml,21.206,reading-task-config-1,7,5
57,67d1cc8044430e99a7d91b4a,toml,11.885,reading-task-config-2,7,1
58,67d1cc8044430e99a7d91b4a,toml,15.873,reading-task-config-3,5,4
59,67d1cc8044430e99a7d91b4a,toml,4.805,reading-task-config-4,5,5
60,67d1cc8044430e99a7d91b4a,toml,7.107,reading-task-config-5,7,2
61,67d1cc8044430e99a7d91b4a,toml,21.865,writing-task-config,6,4
62,67d1cc8044430e99a7d91b4a,toml,9.034,modifying-task-config-1,6,1
63,67d1cc8044430e99a7d91b4a,toml,16.397,modifying-task-config-2,4,7
64,67d1cc8044430e99a7d91b4a,toml,5.027,modifying-task-config-3,6,2
65,67d1cc8044430e99a7d91b4a,toml,12.147,modifying-task-config-4,4,7
66,6693ce87e76d32ccf07fbcd8,xml,17.695,writing-task-NL,7,1
67,6693ce87e76d32ccf07fbcd8,xml,11.581,reading-task-config-1,7,1
68,6693ce87e76d32ccf07fbcd8,xml,12.633,reading-task-config-2,7,3
69,6693ce87e76d32ccf07fbcd8,xml,10.444,reading-task-config-3,7,1
70,6693ce87e76d32ccf07fbcd8,xml,10.182,reading-task-config-4,7,1
71,6693ce87e76d32ccf07fbcd8,xml,7.709,reading-task-config-5,7,1
72,6693ce87e76d32ccf07fbcd8,xml,12.287,writing-task-config,3,5
73,6693ce87e76d32ccf07fbcd8,xml,6.473,modifying-task-config-1,7,1
74,6693ce87e76d32ccf07fbcd8,xml,10.575,modifying-task-config-2,7,1
75,6693ce87e76d32ccf07fbcd8,xml,15.174,modifying-task-config-3,6,2
76,6693ce87e76d32ccf07fbcd8,xml,5.358,modifying-task-config-4,7,1
77,680ebf035ab59d342f31726e,hjson,12.151,writing-task-NL,7,2
78,680ebf035ab59d342f31726e,hjson,10.186,reading-task-config-1,7,2
79,680ebf035ab59d342f31726e,hjson,9.392,reading-task-config-2,7,2
80,680ebf035ab59d342f31726e,hjson,6.95,reading-task-config-3,7,2
81,680ebf035ab59d342f31726e,hjson,6.673,reading-task-config-4,7,2
82,680ebf035ab59d342f31726e,hjson,7.512,reading-task-config-5,7,2
83,680ebf035ab59d342f31726e,hjson,7.093,writing-task-config,6,4
84,680ebf035ab59d342f31726e,hjson,5.386,modifying-task-config-1,7,2
85,680ebf035ab59d342f31726e,hjson,6.49,modifying-task-config-2,7,2
86,680ebf035ab59d342f31726e,hjson,6.016,modifying-task-config-3,7,2
87,680ebf035ab59d342f31726e,hjson,8.845,modifying-task-config-4,5,4
88,67f0d86fabc081fdc410e828,yaml,9.049,writing-task-NL,7,1
89,67f0d86fabc081fdc410e828,yaml,14.572,reading-task-config-1,5,7
90,67f0d86fabc081fdc410e828,yaml,9.113,reading-task-config-2,7,5
