,participantId,format,duration_sec,mental-demand,physical-demand,temporal-demand,performance,frustration,effort
0,659960f32faa4ff4b116de92,toml,46.501,100,100,70,10,70,100
1,5f7f239e9b204e05b6c36538,json5,34.281,98,40,71,78,87,99
2,676d220cd6e7101ccba18ba5,jsonc,60.5,95,100,95,40,80,100
3,67b8636acd5ed420cc098b64,toml,44.827,99,27,73,83,99,96
4,57ca4b09993b08000192297b,xml,30.029,90,0,10,65,75,85
5,67d1cc8044430e99a7d91b4a,toml,49.531,96,96,96,91,92,99
6,6693ce87e76d32ccf07fbcd8,xml,97.758,90,25,50,5,0,90
7,680ebf035ab59d342f31726e,hjson,58.811,100,95,85,15,70,96
8,67f0d86fabc081fdc410e828,yaml,62.284,100,20,91,25,55,99
9,6691809035e52ca9b2b0f39a,yaml,52.951,85,5,55,40,45,85
10,678faf5b31008609fd85b185,json5,37.031,75,90,80,59,85,85
11,65e85a421f2dee53c62fbf45,json5,181.567,100,25,100,25,20,100
12,66b223d532199c29ed32c8f4,jsonc,82.803,50,10,85,20,0,50
13,666b0b42bb6fa2822fa27a32,json5,38.004,82,44,21,60,8,75
14,60f70af563ef757f65e750e0,xml,51.748,80,20,75,35,45,90
15,670f9ddb0e32533c222c3031,json,35.224,51,65,74,44,63,51
16,67d03135f855dd0ff0994265,toml,51.358,85,75,75,80,65,75
17,674f479b2a4ef75e4551f258,json5,70.582,95,75,75,93,35,80
18,682ac845e44bb325e260d19c,jsonc,38.431,99,100,69,70,58,100
19,5ee4a14b578f8a000b384376,yaml,35.89,98,3,3,65,75,97
20,63af557b3d4f219c3226b7d6,yaml,24.334,95,0,10,95,70,87
21,65583ffa38bfc41805a553cd,hjson,58.321,100,55,15,70,40,70
22,66684d30d1a0d64a3a348c82,yaml,35.424,95,85,100,55,94,99
23,60ec51c51a3158a50ded8a3e,json5,31.746,82,35,27,90,63,58
24,671bdd06525adeea062a1d73,json,37.814,46,28,21,1,9,30
25,6647e8618c77f7b938865d25,json5,46.964,74,67,66,21,10,71
26,5e5c993cd0394c474f7cc502,toml,35.204,95,30,45,40,20,80
27,67c045fa5074c5500ca40e76,xml,60.353,100,100,100,10,99,100
28,67d2eaf9d5996dc6be1c7072,xml,88.083,100,99,98,10,99,96
29,60e2ebb6ad1d5ee0e515a7c5,yaml,100.573,85,30,90,80,5,45
30,67d11093c44f4d7f6439251d,jsonc,24.741,72,75,33,0,40,99
31,6745fae180d1fe9990e66532,jsonc,39.979,97,78,97,58,64,97
32,67153c0d669d191ab273b865,yaml,589.676,100,100,100,45,45,55
33,67ab1d683813ed19603e1030,yaml,30.22,79,95,23,85,0,50
