,participantId,format,q7,q8,q9,q12,q13,q14,q10,q11,q10_months,q10_years
0,659960f32faa4ff4b116de92,toml,,This was a very mentally challenging but thoroughly enjoyable study. I really liked the tasks of modifying and writing TOML. ,High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
1,5f7f239e9b204e05b6c36538,json5,,,Master's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
2,676d220cd6e7101ccba18ba5,jsonc,It got to a point it was a bit difficult but I did try my best,none,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Somewhat familiar,6.0,0.5
3,67b8636acd5ed420cc098b64,toml,No thank you ,No,Master's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",72.0,Somewhat familiar,72.0,6.0
4,57ca4b09993b08000192297b,xml,,"I'm not exactly sure what I was supposed to do for the final request, which was to turn the ""collaborators"" into an array of objects with <name> tags. I might have gotten this one wrong, it has been a very long time since I touched XML.",Bachelor's,"{'JSON': 'Comfortable using it', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Used it a few times', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",120.0,Somewhat familiar,120.0,10.0
5,67d1cc8044430e99a7d91b4a,toml,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Comfortable using it', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",18.0,Somewhat familiar,18.0,1.5
6,6693ce87e76d32ccf07fbcd8,xml,"On the question with the chart where I had to write the xml code, it was very hard for me to see the value that was under engines which was starting with a ""p""",nothing,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Not familiar at all,24.0,2.0
7,680ebf035ab59d342f31726e,hjson,Yes. It takes a lot of analyzing and noticing the little details for you to get the concept.,The study was brain stimulating.,High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
8,67f0d86fabc081fdc410e828,yaml,I tried everything to the best of my ability,This was very difficult at times,PhD,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
9,6691809035e52ca9b2b0f39a,yaml,There were several answers that I think could be wrong. I did my best.,,Associate's ,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",2.5,Not familiar at all,2.5,0.21
10,678faf5b31008609fd85b185,json5,,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
11,65e85a421f2dee53c62fbf45,json5,"This Data Serialization formats are a first to me, so at some point I tried using a pen and paper to write down and figure out the answers as best as I could","The study was a learning curve which was intriguing and also interesting. I adjusted a bit but fell short a lot, if this was a school test I wouldn't expect outstanding results, but the challenge was fair with its brief explanations.",High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
12,66b223d532199c29ed32c8f4,jsonc,"It is the first time when I am doing this type of study and I just loved it, was my favourite out of all. It is like a puzzle where I am so excited to glue up the missing pieces together. ","Thank you, was mentally entertaining, whish you could send more studies like this one. I LOVE IT.",Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",2.0,Not familiar at all,2.0,0.17
13,666b0b42bb6fa2822fa27a32,json5,No,No,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Heard of it but never used', 'YAML': 'Comfortable using it', 'TOML': 'Heard of it but never used', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Not familiar at all,6.0,0.5
14,60f70af563ef757f65e750e0,xml,"I tried to do it to the best of my abilities, but I have no prior coding or data categorization experience or knowledge. So when I get tasks like these I feel particularly out of my depth. But I was happy to participate and learn. ",,Some tertiary education,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
15,670f9ddb0e32533c222c3031,json,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Used it a few times', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['Dyslexia (e.g., difficulty reading or distinguishing symbols, such as ""b"" and ""d"").']","['No, I do not have any related conditions.']",3.0,Somewhat familiar,3.0,0.25
16,67d03135f855dd0ff0994265,toml,,,PhD,"{'JSON': 'Heard of it but never used', 'JSONC': 'Used it a few times', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Somewhat familiar,24.0,2.0
17,674f479b2a4ef75e4551f258,json5,,I just love the programming language so much JSON5 is a very easy language to learn and i have leraned alot through this study. Thanks alot.,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Heard of it but never used', 'JSON5': 'Comfortable using it', 'HJSON': 'Heard of it but never used', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Somewhat familiar,24.0,2.0
18,682ac845e44bb325e260d19c,jsonc,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Heard of it but never used', 'HJSON': 'Comfortable using it', 'YAML': 'Comfortable using it', 'TOML': 'Used it a few times', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",36.0,Somewhat familiar,36.0,3.0
19,5ee4a14b578f8a000b384376,yaml,"I struggled with the final question on the collaborator's names and didn't have any idea what I needed to do despite reading the instructions multiple times, it was very frustrating.  ",,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['Color vision deficiency (CVD) (e.g., difficulty distinguishing colors like red and green).']",0.0,Not familiar at all,0.0,0.0
20,63af557b3d4f219c3226b7d6,yaml,I do apologise if my answers are low in quality. It is not to do with a lack of effort but a lack of understanding.  The help was a bit too simplistic when I was faced with the examples,Perhaps the help could be a bit more detailed or the examples before the test a bit more detailed. I thought I understood the initial tutorial but then the questions felt too hard thereafter.,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
21,65583ffa38bfc41805a553cd,hjson,I think the study was a bit technical but I hope I did well because I tried my best.,The study was a nice mental exercise. ,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Used it a few times', 'HJSON': 'Heard of it but never used', 'YAML': 'Comfortable using it', 'TOML': 'Comfortable using it', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",18.0,Very familiar,18.0,1.5
22,66684d30d1a0d64a3a348c82,yaml,,,Master's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Used it a few times', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",8.0,Somewhat familiar,8.0,0.67
23,60ec51c51a3158a50ded8a3e,json5,,,Bachelor's,"{'JSON': 'Comfortable using it', 'JSONC': 'Not familiar at all', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Used it a few times', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",40.0,Very familiar,40.0,3.33
24,671bdd06525adeea062a1d73,json,,"Nope, everything went well!",High School,"{'JSON': 'Comfortable using it', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Used it a few times', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",38.0,Very familiar,38.0,3.17
25,6647e8618c77f7b938865d25,json5,,,Master's,"{'JSON': 'Comfortable using it', 'JSONC': 'Used it a few times', 'JSON5': 'Comfortable using it', 'HJSON': 'Heard of it but never used', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",48.0,Very familiar,48.0,4.0
26,5e5c993cd0394c474f7cc502,toml,it wasn't an easy task but the challenge was engaging,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Used it a few times', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",4.0,Not familiar at all,4.0,0.33
27,67c045fa5074c5500ca40e76,xml,no,nothing,Bachelor's,"{'JSON': 'Comfortable using it', 'JSONC': 'Heard of it but never used', 'JSON5': 'Comfortable using it', 'HJSON': 'Used it a few times', 'YAML': 'Heard of it but never used', 'TOML': 'Used it a few times', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Very familiar,24.0,2.0
28,67d2eaf9d5996dc6be1c7072,xml,"Not really,I just followed instructions to the best of my capabilities",NO,Master's,"{'JSON': 'Used it a few times', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",7.0,Somewhat familiar,7.0,0.58
29,60e2ebb6ad1d5ee0e515a7c5,yaml,,I enjoyed the study it was a new experience for me. ,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
30,67d11093c44f4d7f6439251d,jsonc,,,Master's,"{'JSON': 'Expert', 'JSONC': 'Used it a few times', 'JSON5': 'Comfortable using it', 'HJSON': 'Used it a few times', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",12.0,Somewhat familiar,12.0,1.0
31,6745fae180d1fe9990e66532,jsonc,"With no prior experience with JSON and very little coding experience in general, I found several parts of the tasks very challenging. Although it seems pretty straight forward, I am not the best at using JSON and felt that I had to put a very high effort in.","Thank you for introducing me to JSON, I hope my study results benefit you.",Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",1.0,Not familiar at all,1.0,0.08
32,67153c0d669d191ab273b865,yaml,,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",4.0,Not familiar at all,4.0,0.33
