format,task_order,score,task
hjson,1,1.0,tabular
hjson,2,1.0,tabular
hjson,3,0.875,tabular
hjson,4,1.0,tabular
hjson,5,0.625,tabular
hjson,6,0.44588122605363983,tabular
hjson,7,0.9977463942307693,tabular
hjson,8,0.9304245283018868,tabular
hjson,9,0.6794236347468013,tabular
hjson,10,0.5523050840950594,tabular
json,1,0.9411764705882353,tabular
json,2,0.9411764705882353,tabular
json,3,0.8235294117647058,tabular
json,4,1.0,tabular
json,5,0.6470588235294118,tabular
json,6,0.2130944331755691,tabular
json,7,0.8567590497737557,tabular
json,8,0.6864608979306693,tabular
json,9,0.5636104631150348,tabular
json,10,0.31804976681740643,tabular
json5,1,0.8666666666666667,tabular
json5,2,0.9333333333333333,tabular
json5,3,0.4666666666666667,tabular
json5,4,0.8,tabular
json5,5,0.4666666666666667,tabular
json5,6,0.2678945779635435,tabular
json5,7,0.7505449670953456,tabular
json5,8,0.529874213836478,tabular
json5,9,0.4477869376227962,tabular
json5,10,0.2853988390027706,tabular
jsonc,1,0.8,tabular
jsonc,2,1.0,tabular
jsonc,3,0.7333333333333333,tabular
jsonc,4,0.8,tabular
jsonc,5,0.5333333333333333,tabular
jsonc,6,0.2628352490421456,tabular
jsonc,7,0.9025641025641027,tabular
jsonc,8,0.5616352201257863,tabular
jsonc,9,0.48895203042571467,tabular
jsonc,10,0.3792500910083728,tabular
toml,1,0.8666666666666667,tabular
toml,2,1.0,tabular
toml,3,0.8666666666666667,tabular
toml,4,1.0,tabular
toml,5,0.6666666666666666,tabular
toml,6,0.31642612277820986,tabular
toml,7,0.9112179487179489,tabular
toml,8,0.9037735849056605,tabular
toml,9,0.908839443384898,tabular
toml,10,0.4808824351489998,tabular
xml,1,0.6428571428571429,tabular
xml,2,0.9285714285714286,tabular
xml,3,0.5714285714285714,tabular
xml,4,0.8571428571428571,tabular
xml,5,0.5714285714285714,tabular
xml,6,0.42809250136836347,tabular
xml,7,0.7785027472527474,tabular
xml,8,0.7446091644204852,tabular
xml,9,0.7530367542817008,tabular
xml,10,0.696826868828671,tabular
yaml,1,0.8,tabular
yaml,2,0.7333333333333333,tabular
yaml,3,0.4666666666666667,tabular
yaml,4,0.9333333333333333,tabular
yaml,5,0.7333333333333333,tabular
yaml,6,0.38569604086845466,tabular
yaml,7,0.9357371794871796,tabular
yaml,8,0.7473270440251573,tabular
yaml,9,0.8844490706186942,tabular
yaml,10,0.2796647950197277,tabular
