participantId,format,task,strict_parse,loose_parse
5f7f239e9b204e05b6c36538,json5,modifying-task-config-1,False,False
676d220cd6e7101ccba18ba5,jsonc,modifying-task-config-1,True,True
680ebf035ab59d342f31726e,hjson,modifying-task-config-1,True,False
678faf5b31008609fd85b185,json5,modifying-task-config-1,True,True
65e85a421f2dee53c62fbf45,json5,modifying-task-config-1,True,True
66b223d532199c29ed32c8f4,jsonc,modifying-task-config-1,True,True
666b0b42bb6fa2822fa27a32,json5,modifying-task-config-1,False,False
674f479b2a4ef75e4551f258,json5,modifying-task-config-1,True,True
682ac845e44bb325e260d19c,jsonc,modifying-task-config-1,True,True
65583ffa38bfc41805a553cd,hjson,modifying-task-config-1,True,False
60ec51c51a3158a50ded8a3e,json5,modifying-task-config-1,True,True
671bdd06525adeea062a1d73,json,modifying-task-config-1,True,True
6647e8618c77f7b938865d25,json5,modifying-task-config-1,True,True
67d11093c44f4d7f6439251d,jsonc,modifying-task-config-1,True,True
6745fae180d1fe9990e66532,jsonc,modifying-task-config-1,True,True
6717980047b565ab5b849317,hjson,modifying-task-config-1,True,False
64ea2ee72ab0377e0846cb9e,jsonc,modifying-task-config-1,True,True
6818ca1523ece90f671e3601,json,modifying-task-config-1,False,False
66ec8f7ce843d25227820f97,hjson,modifying-task-config-1,True,False
6680d2279263349cc005956a,json,modifying-task-config-1,True,True
6081728972120aa7f9685791,json,modifying-task-config-1,True,True
675aaf0eb1b401136f37c475,json,modifying-task-config-1,True,True
66e8c6e99be9621d5b1ed1fa,jsonc,modifying-task-config-1,True,True
67792abbab2fa21bf3644c09,hjson,modifying-task-config-1,True,False
5ea90bb434d5e337e98c7edd,json5,modifying-task-config-1,True,True
67d13a1ec91ae2216896de44,json,modifying-task-config-1,True,True
67c8320847fef3b9ab9bfe4d,jsonc,modifying-task-config-1,True,True
616e5ae706e970fe0aff99b6,hjson,modifying-task-config-1,True,False
68138e7f96395f4c5f3a0a87,json,modifying-task-config-1,True,True
62e154b0682e270b4acdf5ee,jsonc,modifying-task-config-1,True,True
660eafee7515c432e850362d,hjson,modifying-task-config-1,True,False
65fae23bd06ae76bcc297e8b,hjson,modifying-task-config-1,True,False
67f4ea448eb6a2b293c1f2fc,json,modifying-task-config-1,True,True
65f4ab7884f8411c9e11a34e,json5,modifying-task-config-1,True,True
61601e9a6b8306196d2a129c,hjson,modifying-task-config-1,True,False
65fad6c874ac75642ffc254b,hjson,modifying-task-config-1,True,False
67a8fa10b4db1990f7372f01,json5,modifying-task-config-1,True,True
6094ce8d0764c24f352d1fe5,hjson,modifying-task-config-1,True,False
664e413a5f3eb7f99d90e15b,json,modifying-task-config-1,True,True
66a7e128f37f34ca658be38b,jsonc,modifying-task-config-1,True,True
65fb236a5a78fcf672df7469,json,modifying-task-config-1,True,True
675330fb23080b9ae3ec8239,json5,modifying-task-config-1,True,True
65fadedad737be57cd91c61f,jsonc,modifying-task-config-1,True,True
678a94ff1cf9f0775cb89e69,hjson,modifying-task-config-1,True,False
67176f0792ed8c4064f61a2c,json,modifying-task-config-1,True,True
62d6d87d91cf24a3c1c0f10c,hjson,modifying-task-config-1,True,False
6554ea27378d1f1b846788b3,jsonc,modifying-task-config-1,True,True
5795af044a84da00014c5df1,json,modifying-task-config-1,True,True
681374d36d7bd7ccb6f914f5,json5,modifying-task-config-1,True,True
5755c957eb80c4000741a9ce,json5,modifying-task-config-1,True,True
6693d3ae2bd15cf7a058e6a7,json5,modifying-task-config-1,True,True
6680071d60b3642bcf5dad37,jsonc,modifying-task-config-1,True,True
659960f32faa4ff4b116de92,toml,modifying-task-config-1,True,True
67b8636acd5ed420cc098b64,toml,modifying-task-config-1,True,True
67d1cc8044430e99a7d91b4a,toml,modifying-task-config-1,True,True
67f0d86fabc081fdc410e828,yaml,modifying-task-config-1,True,True
6691809035e52ca9b2b0f39a,yaml,modifying-task-config-1,True,True
5ee4a14b578f8a000b384376,yaml,modifying-task-config-1,True,True
63af557b3d4f219c3226b7d6,yaml,modifying-task-config-1,True,True
66684d30d1a0d64a3a348c82,yaml,modifying-task-config-1,True,True
5e5c993cd0394c474f7cc502,toml,modifying-task-config-1,True,True
60e2ebb6ad1d5ee0e515a7c5,yaml,modifying-task-config-1,True,True
67153c0d669d191ab273b865,yaml,modifying-task-config-1,False,False
67ab1d683813ed19603e1030,yaml,modifying-task-config-1,True,True
60e343946a7faddde88fbe3c,yaml,modifying-task-config-1,True,True
67e0333064ddada0e2fc6f1e,yaml,modifying-task-config-1,True,True
5b3ec4332a5fbf00014eae57,toml,modifying-task-config-1,True,True
6554e79557e3d6be08e32ceb,yaml,modifying-task-config-1,True,True
645b519f108c046164a6d232,yaml,modifying-task-config-1,True,True
6682a94b061954ae8483fb08,toml,modifying-task-config-1,True,True
66311bae532a469f4858933e,toml,modifying-task-config-1,True,True
669284eabea5b8c9655927da,yaml,modifying-task-config-1,True,True
611d0afbb2a19acfd012545b,toml,modifying-task-config-1,True,True
606c7d27f4f3ae688332a55d,toml,modifying-task-config-1,False,False
6715c7aedee148c65c10509c,yaml,modifying-task-config-1,True,True
67d0251c804fc17732eb948a,toml,modifying-task-config-1,True,True
67d11644421446068e1fec14,toml,modifying-task-config-1,True,True
678526627e48ded12935af38,yaml,modifying-task-config-1,True,True
6738d09a032bf7224008ce7e,yaml,modifying-task-config-1,True,True
65feaaac53eb219f09ad5ea0,toml,modifying-task-config-1,True,True
60e2bf0aa568b97e8d525872,toml,modifying-task-config-1,True,True
67d24179c5bd87691f1fe036,yaml,modifying-task-config-1,True,True
57ca4b09993b08000192297b,xml,modifying-task-config-1,True,True
6693ce87e76d32ccf07fbcd8,xml,modifying-task-config-1,True,True
60f70af563ef757f65e750e0,xml,modifying-task-config-1,True,True
67c045fa5074c5500ca40e76,xml,modifying-task-config-1,True,True
67d2eaf9d5996dc6be1c7072,xml,modifying-task-config-1,True,True
677f8968bbb08bc37c8d2a4b,xml,modifying-task-config-1,True,True
672f51ea346fba23ddd5a793,xml,modifying-task-config-1,True,True
62d7fef5538b81f205ba4656,xml,modifying-task-config-1,True,True
67406c1303bd39d206ff2b50,xml,modifying-task-config-1,True,True
67f66486e35051403284eb5e,xml,modifying-task-config-1,True,True
60f7c71d1cffec381351b0b3,xml,modifying-task-config-1,True,True
5fb4fcd1fce53c30649dd704,xml,modifying-task-config-1,True,True
5c4f5967aac8be0001716a65,xml,modifying-task-config-1,True,True
5f7f239e9b204e05b6c36538,json5,modifying-task-config-2,False,False
680ebf035ab59d342f31726e,hjson,modifying-task-config-2,True,False
678faf5b31008609fd85b185,json5,modifying-task-config-2,False,False
65e85a421f2dee53c62fbf45,json5,modifying-task-config-2,True,True
66b223d532199c29ed32c8f4,jsonc,modifying-task-config-2,False,False
666b0b42bb6fa2822fa27a32,json5,modifying-task-config-2,True,True
674f479b2a4ef75e4551f258,json5,modifying-task-config-2,False,False
682ac845e44bb325e260d19c,jsonc,modifying-task-config-2,False,False
