participantId,format,task,strict_parse,loose_parse
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-1,True,True
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-1,True,False
66475d6f7b27e4443ef0d031,json,modifying-task-tabular-1,True,True
67f5bb69760b211cdfe8021c,jsonc,modifying-task-tabular-1,True,True
67e571bef6af7ecd9c29ad72,json,modifying-task-tabular-1,True,True
60f1f1d4ac991a259b83f603,json,modifying-task-tabular-1,True,True
678f0bb28ec3307e4f1afb78,hjson,modifying-task-tabular-1,True,False
673c13c9d37c8a73bc80b8ce,json,modifying-task-tabular-1,True,True
673e43cc760355e9e4f042a3,json5,modifying-task-tabular-1,True,True
60a0b744298c64d46b63e893,hjson,modifying-task-tabular-1,True,False
678bad003d15e6aba1ee5a5d,jsonc,modifying-task-tabular-1,True,True
66cdfebcb908ea2717d06b6c,hjson,modifying-task-tabular-1,True,False
67f0c5d37f91ceae5cb3b318,jsonc,modifying-task-tabular-1,True,True
56cb8858edf8da000b6df354,hjson,modifying-task-tabular-1,True,False
67aee0dfad3492b61a9ba0eb,jsonc,modifying-task-tabular-1,True,True
667971a555af1f83d3f29ae7,hjson,modifying-task-tabular-1,True,False
5c6414540821d30001046198,hjson,modifying-task-tabular-1,True,False
6788c1c724c24dc56b08790a,json5,modifying-task-tabular-1,True,True
6734346ca8e90c2da6fb4509,jsonc,modifying-task-tabular-1,True,True
67ab214c2cde1be7c45535ac,jsonc,modifying-task-tabular-1,True,True
607728dc0b4f8590b94ae57c,jsonc,modifying-task-tabular-1,True,True
667c18ace97ab6869cb1c50e,hjson,modifying-task-tabular-1,True,False
667ac09492ea0caadf488520,json,modifying-task-tabular-1,False,False
67debe02a893eea51e8d02f2,json,modifying-task-tabular-1,True,True
5dafea4de40355001651fa2f,jsonc,modifying-task-tabular-1,True,True
615200d54efc832849db2259,json,modifying-task-tabular-1,True,True
67a754a5c8614c52a939d87b,hjson,modifying-task-tabular-1,True,False
65cf6d8a589a67afcab54e6f,hjson,modifying-task-tabular-1,True,False
672d98919cc177d28c204e76,json5,modifying-task-tabular-1,True,True
66b0d065329001a04e5ae671,json,modifying-task-tabular-1,True,True
67f1a4f8dd44e7cd5adffa29,json5,modifying-task-tabular-1,True,True
5e3b5fa9255e7a37bc841135,json,modifying-task-tabular-1,True,True
5d30dfa68b1523000134878f,json,modifying-task-tabular-1,True,True
672ca6c0324ac26cdc0dd298,json5,modifying-task-tabular-1,True,True
67d7fa657f5ac0292a291a38,hjson,modifying-task-tabular-1,True,False
677d185800ab83d1b0185d82,jsonc,modifying-task-tabular-1,True,True
5b68c9eb87af310001584803,json5,modifying-task-tabular-1,True,True
