Unnamed: 0,participantId,format,duration_sec,mental_demand,physical_demand,temporal_demand,performance,frustration,effort,task
0,64457bc906c125cebd4bf66b,json5,23.218,93,11,55,10,94,75,total
1,6697c8b6d9d7baa7edd8c4d3,hjson,33.116,90,20,50,55,75,50,total
2,67e25388d573ec2d5f1c8442,yaml,36.14,90,100,70,0,5,95,total
3,67e5cf90b79d0874e1cf16b0,toml,17.798,97,90,92,78,61,99,total
4,67d00f24466a67ba7e41228e,toml,18.194,79,77,63,18,75,98,total
5,66475d6f7b27e4443ef0d031,json,31.156,99,3,58,22,46,67,total
6,6672d878f68b9e349b56e871,toml,31.632,98,98,97,98,99,99,total
7,67f5bb69760b211cdfe8021c,jsonc,46.525,79,56,65,15,60,85,total
8,67e571bef6af7ecd9c29ad72,json,35.774,100,100,100,10,90,100,total
9,60f1f1d4ac991a259b83f603,json,59.541,100,100,0,100,0,100,total
10,678f0bb28ec3307e4f1afb78,hjson,45.602,90,5,16,80,20,75,total
11,669b961e1c9cf30a26bb57d2,xml,33.63,100,96,100,65,86,100,total
12,673c13c9d37c8a73bc80b8ce,json,66.625,90,44,75,20,45,80,total
13,66992f58a7964f557fc75f58,toml,9.65,99,98,98,97,35,97,total
14,60721c2da01b3a616edba9a7,xml,23.815,100,100,100,60,100,100,total
15,673e43cc760355e9e4f042a3,json5,28.065,100,100,100,75,10,100,total
16,60a0b744298c64d46b63e893,hjson,32.932,90,75,10,85,40,100,total
17,67dc19c31078d1581e39e75a,yaml,46.779,65,54,40,5,50,75,total
18,678bad003d15e6aba1ee5a5d,jsonc,63.785,55,65,50,17,20,62,total
19,66cdfebcb908ea2717d06b6c,hjson,87.973,56,77,67,85,81,89,total
20,67f0c5d37f91ceae5cb3b318,jsonc,34.662,99,100,98,6,21,100,total
21,56cb8858edf8da000b6df354,hjson,47.514,30,40,20,10,20,50,total
22,67aee0dfad3492b61a9ba0eb,jsonc,42.25,99,55,80,5,15,94,total
23,667971a555af1f83d3f29ae7,hjson,41.303,80,40,60,20,60,70,total
24,5c6414540821d30001046198,hjson,32.625,98,9,86,83,85,98,total
25,6788c1c724c24dc56b08790a,json5,48.396,100,100,85,1,25,99,total
26,67adb520391eb17f214a50b4,yaml,80.057,96,52,64,81,5,83,total
27,67d95269b47464c18da766ca,xml,31.778,80,60,65,56,50,84,total
28,64275e53f51a5ed4f6b7d019,toml,33.475,100,10,0,90,0,90,total
29,6734346ca8e90c2da6fb4509,jsonc,54.504,85,0,30,5,10,70,total
30,66049694dfb8828a8f3dce70,yaml,62.772,100,55,70,20,20,95,total
31,67ab214c2cde1be7c45535ac,jsonc,27.333,100,85,100,50,100,95,total
32,607728dc0b4f8590b94ae57c,jsonc,16.646,70,2,80,80,38,98,total
33,667c18ace97ab6869cb1c50e,hjson,25.403,89,10,65,55,5,86,total
34,667ac09492ea0caadf488520,json,28.6,98,95,52,50,65,96,total
35,6740ae39809389d7da9de209,xml,101.958,95,95,95,21,79,96,total
36,67c246023b44ca64d40ae45a,json5,27.348,100,100,95,75,100,100,total
37,67debe02a893eea51e8d02f2,json,43.639,95,50,100,60,86,100,total
38,673d0377254c407e5da57f97,toml,43.223,78,10,64,95,5,97,total
39,62fd14d7b1e0729dc8aadb79,xml,27.683,80,10,55,35,50,65,total
40,5dafea4de40355001651fa2f,jsonc,28.837,87,50,54,36,53,76,total
41,6787e4bd2bf9557a90208f03,yaml,90.741,80,85,50,20,35,90,total
42,5e8a5a892f6f027054a83d88,toml,36.034,85,0,0,85,35,90,total
43,67e4920c40c9561040ca01d0,xml,81.944,90,55,45,45,80,70,total
44,615200d54efc832849db2259,json,32.736,95,55,65,90,80,100,total
45,67f184a3b82990251abd1592,yaml,25.563,86,60,80,70,90,95,total
46,67bf88cc763aae600b429a3e,toml,25.061,93,9,74,75,34,79,total
47,67a754a5c8614c52a939d87b,hjson,30.318,60,45,44,74,83,75,total
48,60fce3df91350150e2e88423,yaml,30.457,81,50,70,15,70,88,total
49,67d29234dbfdb6668d124115,yaml,47.562,100,100,70,50,90,100,total
50,65cf6d8a589a67afcab54e6f,hjson,39.523,5,5,0,0,0,0,total
51,672d98919cc177d28c204e76,json5,56.101,95,54,96,65,90,95,total
52,66b0d065329001a04e5ae671,json,28.585,81,71,88,66,32,78,total
53,67f1a4f8dd44e7cd5adffa29,json5,38.488,95,90,85,90,60,100,total
54,5e3b5fa9255e7a37bc841135,json,97.61,90,20,95,90,40,90,total
55,677c52fe648cd68583dd3b1e,xml,34.074,100,70,70,30,80,100,total
56,5d30dfa68b1523000134878f,json,25.964,96,5,79,20,87,95,total
57,671a519900a99ebc15a67672,yaml,43.263,100,50,95,85,69,100,total
58,672ca6c0324ac26cdc0dd298,json5,32.493,98,51,100,20,99,99,total
59,67d7fa657f5ac0292a291a38,hjson,56.19,90,45,40,0,0,100,total
60,677d185800ab83d1b0185d82,jsonc,26.047,91,65,60,72,69,70,total
61,5b68c9eb87af310001584803,json5,14.53,95,90,90,36,70,92,total
62,6784ff2095dd9b97e969b01f,jsonc,30.341,85,70,70,80,65,80,total
63,67eff2b1a264260e948a4d14,xml,40.836,100,100,100,4,60,99,total
64,5ecc71c95c92c2000a9e9a19,jsonc,40.787,95,0,80,30,65,95,total
65,61267b828ead584bcf092e35,hjson,39.022,100,97,99,14,82,100,total
66,6501c0a2e788b5556c24569d,xml,57.52,65,10,15,15,34,76,total
67,637d8ca00150ac6e71a34ec9,yaml,32.429,100,0,75,25,85,99,total
68,67cb01a82dda2577eb6ee320,json,64.949,77,73,60,85,58,65,total
69,67e17bac09359e09118892b4,json5,55.486,78,72,44,9,3,100,total
70,6606b31155457e4f162ecf5a,json5,34.56,100,100,90,100,75,100,total
71,63e5b3e89a3823139cb9d35e,toml,76.595,100,20,51,80,10,100,total
72,66bb6b7e0ccbed81f3ed30a8,xml,21.403,92,1,98,3,65,94,total
73,6753746b1f8827e2bd586bf0,xml,30.97,100,1,10,25,94,85,total
74,67cd944859dabbd1d4552d39,json,110.437,95,75,75,10,75,100,total
75,57c357770e6a1f00015f6038,json,20.866,100,90,99,74,86,92,total
76,67d188bcc201cc08eac23f92,json5,33.669,100,100,100,90,54,85,total
77,67f3619e16d4ca195fbd1bd0,yaml,64.61,66,65,50,14,20,55,total
78,66781db404eab5e142f849d9,jsonc,40.368,80,47,65,78,48,78,total
79,667c2175b570aa694ce2f63c,toml,43.91,90,90,25,20,65,89,total
80,67d1283c8f6169900d0072d2,yaml,49.644,97,97,97,95,94,90,total
81,5f29eff59714081a3594a331,json,34.872,95,75,85,15,55,95,total
82,65be552ceed6a0595fa1feb5,json,33.81,99,91,85,5,97,100,total
83,6577a27da9f5297d49f38e6f,hjson,62.886,87,35,25,75,40,85,total
84,67eefd0739d752c54dd52686,toml,30.76,99,90,79,90,48,99,total
85,67e12acb51605ac16c227598,jsonc,29.427,90,99,85,95,60,95,total
86,67d9788747176969d8d0fa1d,hjson,47.725,64,69,71,26,43,27,total
87,669a84e18da4349ece0ea67c,xml,89.139,100,30,100,0,35,100,total
88,67d548b5aa5737666a77a6d2,json5,106.155,70,70,80,10,30,95,total
89,67ab57e88fd0774428bd1f32,xml,22.274,85,66,98,64,84,80,total
90,667983594f7d5d70a78c6e5a,json,44.735,100,100,100,55,56,98,total
91,67f913a9b5c79e960807c7e3,yaml,42.638,90,20,95,90,5,100,total
92,672003022f1b667a20157c45,yaml,20.363,60,5,16,95,5,55,total
93,671b65fe04c301eb14263ba5,toml,41.4,95,80,90,79,71,95,total
94,6787d648d7b1963c661f9443,json5,15.433,95,48,84,100,83,63,total
95,66a9285501ac98053902d481,toml,23.678,81,10,10,75,40,100,total
96,66a662a0a709312db9de01f2,jsonc,26.891,99,99,99,100,97,98,total
97,66b246951b9aefec80b7158a,json,74.372,95,75,15,60,25,80,total
98,5d766978f47e6200019a2acf,yaml,75.865,85,20,20,20,30,75,total
99,677d32c679491be18090225b,xml,46.775,46,25,16,54,8,39,total
100,67d163e7b7bcc1e9718e01da,json5,112.454,60,45,38,61,42,32,total
101,665c5d94303fdf202ac9ded0,toml,22.379,45,15,10,65,40,70,total
102,67ab650c320eccf6141d4010,jsonc,18.749,65,61,59,57,62,60,total
103,65fad673a546ab14baf2f8d3,json5,31.495,85,80,85,80,75,85,total
104,67f1c7bd6f1c4a3d8deae02f,toml,86.136,85,60,20,10,10,100,total
105,67adb27bd5f5776fcb16da62,hjson,49.236,85,75,85,60,55,80,total
106,6675c40cdc52b37294f0514e,hjson,13.27,82,86,39,66,68,96,total
