,participantId,format,duration_sec,task,confidence,difficulty
0,64457bc906c125cebd4bf66b,json5,8.808,writing-task-NL,7,1
1,64457bc906c125cebd4bf66b,json5,5.996,reading-task-tabular-1,4,4
2,64457bc906c125cebd4bf66b,json5,10.567,reading-task-tabular-2,3,4
3,64457bc906c125cebd4bf66b,json5,7.485,reading-task-tabular-3,3,5
4,64457bc906c125cebd4bf66b,json5,5.386,reading-task-tabular-4,5,3
5,64457bc906c125cebd4bf66b,json5,7.962,reading-task-tabular-5,2,6
6,64457bc906c125cebd4bf66b,json5,5.713,writing-task-tabular,1,7
7,64457bc906c125cebd4bf66b,json5,7.395,modifying-task-tabular-1,2,5
8,64457bc906c125cebd4bf66b,json5,5.042,modifying-task-tabular-2,3,4
9,64457bc906c125cebd4bf66b,json5,4.678,modifying-task-tabular-3,2,5
10,64457bc906c125cebd4bf66b,json5,5.402,modifying-task-tabular-4,1,5
11,6697c8b6d9d7baa7edd8c4d3,hjson,8.293,writing-task-NL,1,1
12,6697c8b6d9d7baa7edd8c4d3,hjson,7.828,reading-task-tabular-1,1,1
13,6697c8b6d9d7baa7edd8c4d3,hjson,17.491,reading-task-tabular-2,6,3
14,6697c8b6d9d7baa7edd8c4d3,hjson,10.38,reading-task-tabular-3,7,1
15,6697c8b6d9d7baa7edd8c4d3,hjson,9.689,reading-task-tabular-4,7,1
16,6697c8b6d9d7baa7edd8c4d3,hjson,8.268,reading-task-tabular-5,3,4
17,6697c8b6d9d7baa7edd8c4d3,hjson,8.015,writing-task-tabular,1,7
18,6697c8b6d9d7baa7edd8c4d3,hjson,9.579,modifying-task-tabular-1,6,2
19,6697c8b6d9d7baa7edd8c4d3,hjson,5.886,modifying-task-tabular-2,5,3
20,6697c8b6d9d7baa7edd8c4d3,hjson,9.423,modifying-task-tabular-3,1,5
21,6697c8b6d9d7baa7edd8c4d3,hjson,8.975,modifying-task-tabular-4,4,3
22,67e25388d573ec2d5f1c8442,yaml,17.26,writing-task-NL,7,1
23,67e25388d573ec2d5f1c8442,yaml,7.307,reading-task-tabular-1,7,5
24,67e25388d573ec2d5f1c8442,yaml,6.839,reading-task-tabular-2,6,3
25,67e25388d573ec2d5f1c8442,yaml,4.661,reading-task-tabular-3,6,3
26,67e25388d573ec2d5f1c8442,yaml,6.142,reading-task-tabular-4,7,1
27,67e25388d573ec2d5f1c8442,yaml,15.576,reading-task-tabular-5,7,1
28,67e25388d573ec2d5f1c8442,yaml,7.56,writing-task-tabular,4,6
29,67e25388d573ec2d5f1c8442,yaml,5.176,modifying-task-tabular-1,5,5
30,67e25388d573ec2d5f1c8442,yaml,12.266,modifying-task-tabular-2,7,1
31,67e25388d573ec2d5f1c8442,yaml,4.619,modifying-task-tabular-3,7,3
32,67e25388d573ec2d5f1c8442,yaml,6.957,modifying-task-tabular-4,6,5
33,67e5cf90b79d0874e1cf16b0,toml,8.21,writing-task-NL,7,1
34,67e5cf90b79d0874e1cf16b0,toml,8.03,reading-task-tabular-1,4,5
35,67e5cf90b79d0874e1cf16b0,toml,8.975,reading-task-tabular-2,4,5
36,67e5cf90b79d0874e1cf16b0,toml,3.282,reading-task-tabular-3,4,5
37,67e5cf90b79d0874e1cf16b0,toml,7.554,reading-task-tabular-4,4,6
38,67e5cf90b79d0874e1cf16b0,toml,3.448,reading-task-tabular-5,4,6
39,67e5cf90b79d0874e1cf16b0,toml,5.154,writing-task-tabular,2,7
40,67e5cf90b79d0874e1cf16b0,toml,3.362,modifying-task-tabular-1,7,2
41,67e5cf90b79d0874e1cf16b0,toml,3.95,modifying-task-tabular-2,7,2
42,67e5cf90b79d0874e1cf16b0,toml,2.414,modifying-task-tabular-3,7,1
43,67e5cf90b79d0874e1cf16b0,toml,6.702,modifying-task-tabular-4,2,6
44,67d00f24466a67ba7e41228e,toml,7.122,writing-task-NL,7,1
45,67d00f24466a67ba7e41228e,toml,6.386,reading-task-tabular-1,7,1
46,67d00f24466a67ba7e41228e,toml,3.776,reading-task-tabular-2,5,3
47,67d00f24466a67ba7e41228e,toml,3.666,reading-task-tabular-3,5,3
48,67d00f24466a67ba7e41228e,toml,4.703,reading-task-tabular-4,6,3
49,67d00f24466a67ba7e41228e,toml,3.963,reading-task-tabular-5,6,2
50,67d00f24466a67ba7e41228e,toml,24.929,writing-task-tabular,5,1
51,67d00f24466a67ba7e41228e,toml,6.538,modifying-task-tabular-1,5,2
52,67d00f24466a67ba7e41228e,toml,7.171,modifying-task-tabular-2,5,3
53,67d00f24466a67ba7e41228e,toml,10.283,modifying-task-tabular-3,6,2
54,67d00f24466a67ba7e41228e,toml,4.226,modifying-task-tabular-4,4,3
55,66475d6f7b27e4443ef0d031,json,7.243,writing-task-NL,7,1
56,66475d6f7b27e4443ef0d031,json,8.163,reading-task-tabular-1,7,2
57,66475d6f7b27e4443ef0d031,json,3.682,reading-task-tabular-2,7,1
58,66475d6f7b27e4443ef0d031,json,5.077,reading-task-tabular-3,7,1
59,66475d6f7b27e4443ef0d031,json,4.199,reading-task-tabular-4,7,1
60,66475d6f7b27e4443ef0d031,json,5.922,reading-task-tabular-5,7,1
61,66475d6f7b27e4443ef0d031,json,5.076,writing-task-tabular,1,7
62,66475d6f7b27e4443ef0d031,json,6.586,modifying-task-tabular-1,1,7
63,66475d6f7b27e4443ef0d031,json,4.024,modifying-task-tabular-2,7,1
64,66475d6f7b27e4443ef0d031,json,4.556,modifying-task-tabular-3,7,1
