,participantId,format,q7,q8,q9,q12,q13,q14,q10,q11,q10_months,q10_years
0,64457bc906c125cebd4bf66b,json5,,,High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
1,6697c8b6d9d7baa7edd8c4d3,hjson,,,Master's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Heard of it but never used', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",12.0,Not familiar at all,12.0,1.0
2,67e25388d573ec2d5f1c8442,yaml,,,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Used it a few times', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",2.0,Somewhat familiar,2.0,0.17
3,67e5cf90b79d0874e1cf16b0,toml,"I carefully followed every task by manually reading, updating, and restructuring the TOML data according to each specific instruction.",No,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",41.0,Very familiar,41.0,3.42
4,67d00f24466a67ba7e41228e,toml,None,None,Master's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",20.0,Somewhat familiar,20.0,1.67
5,66475d6f7b27e4443ef0d031,json,,,Master's,"{'JSON': 'Used it a few times', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Not familiar at all,6.0,0.5
6,6672d878f68b9e349b56e871,toml,,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Used it a few times', 'JSON5': 'Used it a few times', 'HJSON': 'Used it a few times', 'YAML': 'Comfortable using it', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Somewhat familiar,6.0,0.5
7,67f5bb69760b211cdfe8021c,jsonc,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Somewhat familiar,24.0,2.0
8,67e571bef6af7ecd9c29ad72,json,,,Bachelor's,"{'JSON': 'Expert', 'JSONC': 'Comfortable using it', 'JSON5': 'Used it a few times', 'HJSON': 'Expert', 'YAML': 'Comfortable using it', 'TOML': 'Used it a few times', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['Prefer not to say.', 'No, I do not have any related conditions.']",36.0,Very familiar,36.0,3.0
9,60f1f1d4ac991a259b83f603,json,,,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
10,678f0bb28ec3307e4f1afb78,hjson,The help button should include more examples,,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",80.0,Not familiar at all,80.0,6.67
11,669b961e1c9cf30a26bb57d2,xml,N/A,The task was very challenging,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Used it a few times', 'HJSON': 'Used it a few times', 'YAML': 'Used it a few times', 'TOML': 'Used it a few times', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",48.0,Somewhat familiar,48.0,4.0
12,673c13c9d37c8a73bc80b8ce,json,,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Somewhat familiar,6.0,0.5
13,66992f58a7964f557fc75f58,toml,,,Master's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",12.0,Not familiar at all,12.0,1.0
14,60721c2da01b3a616edba9a7,xml,,,National Tech Diploma,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Not familiar at all,6.0,0.5
15,673e43cc760355e9e4f042a3,json5,No,No,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Used it a few times', 'HJSON': 'Used it a few times', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",8.0,Somewhat familiar,8.0,0.67
16,60a0b744298c64d46b63e893,hjson,"For someone in their 60's this was quite the confusing study, as I have seen these type of lines in movies but never worked with them before, it was an exciting study, dont get me wrong I enjoyed it, but some of those explanations flew right over my head hahaha.
But thank you for this, expanding my knowledge is still what I enjoy! ",Really interesting study!,High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,0.0,0.0
17,67dc19c31078d1581e39e75a,yaml,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Heard of it but never used', 'HJSON': 'Used it a few times', 'YAML': 'Used it a few times', 'TOML': 'Used it a few times', 'XML': 'Comfortable using it'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",48.0,Somewhat familiar,48.0,4.0
18,678bad003d15e6aba1ee5a5d,jsonc,No,No,Bachelor's,"{'JSON': 'Comfortable using it', 'JSONC': 'Comfortable using it', 'JSON5': 'Comfortable using it', 'HJSON': 'Comfortable using it', 'YAML': 'Comfortable using it', 'TOML': 'Comfortable using it', 'XML': 'Comfortable using it'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",62.0,Somewhat familiar,62.0,5.17
19,66cdfebcb908ea2717d06b6c,hjson,I used my existing knowledge of Python and Java to write the code using knowledge of lists and nested lists.,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Comfortable using it', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",36.0,Somewhat familiar,36.0,3.0
20,67f0c5d37f91ceae5cb3b318,jsonc,experienced,enjoyed,Master's,"{'JSON': 'Expert', 'JSONC': 'Comfortable using it', 'JSON5': 'Comfortable using it', 'HJSON': 'Used it a few times', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",18.0,Very familiar,18.0,1.5
