,participantId,format,task,correct,num_wrong_attempts,duration_sec,wrong_choice_count
0,64457bc906c125cebd4bf66b,json5,tutorial-part1,1,3,225.255,4
1,64457bc906c125cebd4bf66b,json5,tutorial-part2,0,5,128.872,0
2,6697c8b6d9d7baa7edd8c4d3,hjson,tutorial-part1,1,3,370.784,3
3,6697c8b6d9d7baa7edd8c4d3,hjson,tutorial-part2,1,1,100.488,0
4,67e25388d573ec2d5f1c8442,yaml,tutorial-part1,1,0,230.849,0
5,67e25388d573ec2d5f1c8442,yaml,tutorial-part2,1,4,1322.443,4
6,67e5cf90b79d0874e1cf16b0,toml,tutorial-part1,1,1,130.408,1
7,67e5cf90b79d0874e1cf16b0,toml,tutorial-part2,1,0,343.392,0
8,67d00f24466a67ba7e41228e,toml,tutorial-part1,0,5,408.927,5
9,67d00f24466a67ba7e41228e,toml,tutorial-part2,1,3,235.394,2
10,66475d6f7b27e4443ef0d031,json,tutorial-part1,1,2,87.228,2
11,66475d6f7b27e4443ef0d031,json,tutorial-part2,1,3,81.036,4
12,6672d878f68b9e349b56e871,toml,tutorial-part1,1,5,319.341,1
13,6672d878f68b9e349b56e871,toml,tutorial-part2,1,0,87.967,0
14,67f5bb69760b211cdfe8021c,jsonc,tutorial-part1,1,0,107.476,0
15,67f5bb69760b211cdfe8021c,jsonc,tutorial-part2,0,5,170.022,0
16,67e571bef6af7ecd9c29ad72,json,tutorial-part1,1,4,1658.941,7
17,67e571bef6af7ecd9c29ad72,json,tutorial-part2,1,3,611.594,3
18,60f1f1d4ac991a259b83f603,json,tutorial-part1,1,5,218.73,9
19,60f1f1d4ac991a259b83f603,json,tutorial-part2,1,4,88.396,4
20,678f0bb28ec3307e4f1afb78,hjson,tutorial-part1,1,2,580.038,2
21,678f0bb28ec3307e4f1afb78,hjson,tutorial-part2,1,1,229.055,0
22,669b961e1c9cf30a26bb57d2,xml,tutorial-part1,1,0,266.241,0
23,669b961e1c9cf30a26bb57d2,xml,tutorial-part2,1,2,146.946,4
24,673c13c9d37c8a73bc80b8ce,json,tutorial-part1,1,2,411.27,3
25,673c13c9d37c8a73bc80b8ce,json,tutorial-part2,1,1,100.372,2
26,66992f58a7964f557fc75f58,toml,tutorial-part1,0,5,243.668,7
27,66992f58a7964f557fc75f58,toml,tutorial-part2,1,2,52.782,1
28,60721c2da01b3a616edba9a7,xml,tutorial-part1,1,0,277.262,0
29,60721c2da01b3a616edba9a7,xml,tutorial-part2,1,3,352.41,3
30,673e43cc760355e9e4f042a3,json5,tutorial-part1,1,5,1141.428,6
31,673e43cc760355e9e4f042a3,json5,tutorial-part2,1,5,109.271,0
32,60a0b744298c64d46b63e893,hjson,tutorial-part1,1,3,244.738,4
33,60a0b744298c64d46b63e893,hjson,tutorial-part2,1,1,82.331,0
34,67dc19c31078d1581e39e75a,yaml,tutorial-part1,1,2,184.394,1
35,67dc19c31078d1581e39e75a,yaml,tutorial-part2,1,4,142.26,4
36,678bad003d15e6aba1ee5a5d,jsonc,tutorial-part1,1,3,291.43,4
37,678bad003d15e6aba1ee5a5d,jsonc,tutorial-part2,1,1,144.703,0
38,66cdfebcb908ea2717d06b6c,hjson,tutorial-part1,1,1,285.557,1
