participantId,format,duration_sec_total,normalized_time_total,task
5755c957eb80c4000741a9ce,json5,525.249,441.5338573411765,config
5795af044a84da00014c5df1,json,1072.223,942.5216967171315,config
57ca4b09993b08000192297b,xml,1377.105,1208.896771952381,config
5b3ec4332a5fbf00014eae57,toml,2121.904,2119.2893008,config
5c4f5967aac8be0001716a65,xml,1465.416,1220.041467312253,config
5e5c993cd0394c474f7cc502,toml,1167.207,765.0213558352941,config
5ea90bb434d5e337e98c7edd,json5,3612.293,3366.7167904545454,config
5ee4a14b578f8a000b384376,yaml,1456.0839999999998,1287.5660725098815,config
5f7f239e9b204e05b6c36538,json5,1775.571,1741.1873823870967,config
5fb4fcd1fce53c30649dd704,xml,1968.871,1963.7591538007969,config
606c7d27f4f3ae688332a55d,toml,748.934,622.1631863399209,config
6081728972120aa7f9685791,json,1958.229,1974.563396025,config
6094ce8d0764c24f352d1fe5,hjson,2076.737,1978.122862880478,config
60e2bf0aa568b97e8d525872,toml,1812.145,1814.891319357143,config
60e2ebb6ad1d5ee0e515a7c5,yaml,1503.456,1562.85920925,config
60e343946a7faddde88fbe3c,yaml,2560.9519999999998,2801.212366561265,config
60ec51c51a3158a50ded8a3e,json5,1171.471,1006.6654098412698,config
60f70af563ef757f65e750e0,xml,2001.696,1733.4789451620552,config
60f7c71d1cffec381351b0b3,xml,2087.276,2932.7612529666667,config
611d0afbb2a19acfd012545b,toml,1860.23,1897.621724621514,config
61287939bc5a971fc15333e4,json,3448.7400000000002,8329.122524756098,config
61601e9a6b8306196d2a129c,hjson,2252.137,2459.247609765625,config
616e5ae706e970fe0aff99b6,hjson,529.769,518.1098214354839,config
62d6d87d91cf24a3c1c0f10c,hjson,2081.426,1399.5147472063493,config
62d7fef5538b81f205ba4656,xml,619.928,489.804405893617,config
62e154b0682e270b4acdf5ee,jsonc,2297.726,2024.6005910943952,config
63af557b3d4f219c3226b7d6,yaml,1410.1390000000001,1124.8743174603176,config
645b519f108c046164a6d232,yaml,891.0260000000001,684.8068989340974,config
64ea2ee72ab0377e0846cb9e,jsonc,2986.225,3130.0671088,config
651b29ff3a6cadf518640abe,xml,2440.913,2205.6805522738096,config
6554e79557e3d6be08e32ceb,yaml,1483.074,1436.2171956443149,config
6554ea27378d1f1b846788b3,jsonc,1780.6979999999999,1771.70001618,config
65583ffa38bfc41805a553cd,hjson,2380.629,2513.423832718254,config
659960f32faa4ff4b116de92,toml,2042.799,1604.2400145059287,config
65e85a421f2dee53c62fbf45,json5,5149.516,5906.18224438247,config
65f4ab7884f8411c9e11a34e,json5,1601.493,1243.8348392988048,config
65fad6c874ac75642ffc254b,hjson,2298.75,1801.278529304,config
65fadedad737be57cd91c61f,jsonc,2370.761,2424.1392549603174,config
65fae23bd06ae76bcc297e8b,hjson,3021.569,3810.8122232252967,config
65fb236a5a78fcf672df7469,json,3050.302,3105.6393636000003,config
